DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S740mag,S920mag,Spanmag
1908095850396090880,   4.8677,   5.3607,   5.6104,   4.9602,   4.4783,   4.8736,   5.3524,   5.6769,   5.2255
2135550755683407232,   6.2003,   5.9190,   5.8792,   6.1466,   6.8701,   6.2018,   5.9208,   5.8809,   5.9618
4345775217221821312,   5.4615,   5.1940,   5.1517,   5.4110,   6.0703,   5.4624,   5.1981,   5.1517,   5.2371
1651137131123978112,  12.5063,  12.7602,  12.8748,  12.6133,  12.4601,  12.5095,  12.7556,  12.8624,  12.6927
1633143932573832448,  12.4679,  12.6333,  12.7260,  12.5518,  12.4965,  12.4642,  12.6309,  12.7294,  12.5863
1634280312200704768,  13.4987,  13.5804,  13.6586,  13.5660,  13.6336,  13.4953,  13.5795,  13.6542,  13.5551
1633585107317144960,  11.7790,  11.8939,  11.9692,  11.8583,  11.9206,  11.7794,  11.8941,  11.9679,  11.8536
2158745262705810304,  11.9859,  12.2977,  12.4231,  12.0951,  11.8565,  11.9868,  12.2931,  12.4100,  12.2159
2161093682102883712,  12.2769,  12.5265,  12.6408,  12.3798,  12.2298,  12.2797,  12.5187,  12.6396,  12.4610
2260019315938461952,  12.0479,  12.2075,  12.2953,  12.1309,  12.0777,  12.0502,  12.2032,  12.2935,  12.1626
2160839724980689408,  11.7163,  11.8937,  11.9843,  11.8074,  11.7641,  11.7198,  11.8926,  11.9794,  11.8410
2794735086363871360,  21.2946,  17.5166,  15.6681,  17.5256,  22.5304,  21.8471,  17.3220,  14.8705,  17.9880
2997171394834174976,      NaN,      NaN,  17.8137,  20.5497,  21.6077,  23.3426,  23.3242,  16.8869,      NaN
1144974578159253632,  11.9281,  12.5668,  12.8915,  12.0240,  11.4139,  11.9325,  12.5588,  12.9781,  12.3870
4376174445988280576,   9.9200,   9.6900,   9.6540,   9.8728,  10.3086,   9.9200,   9.6917,   9.6579,   9.7342
6324325225803432320,  11.2525,   9.0368,   8.3995,   9.8564,  13.4983,  11.2817,   8.9243,   8.2070,   9.7153
52624073910834176,   9.2010,   9.0171,   9.0073,   9.1727,   9.5446,   9.2048,   9.0172,   9.0255,   9.0497
1267333012397454592,   9.6955,   9.5003,   9.4829,   9.6606,  10.0345,   9.6935,   9.5019,   9.4954,   9.5377
731253779217024640,  10.2409,   9.9822,   9.9489,  10.1860,  10.7155,  10.2297,   9.9866,   9.9518,  10.0298
1032197606073957888,   9.6812,   9.4846,   9.4706,   9.6512,  10.0645,   9.6783,   9.4851,   9.4746,   9.5195
1435896975388228224,   9.6797,  10.0038,  10.1389,   9.7779,   9.5088,   9.6791,   9.9967,  10.1270,   9.9212
1135587497636732672,   9.5578,  10.1716,  10.4886,   9.6380,   9.0206,   9.5650,  10.1649,  10.5911,   9.9983
5057499161282786432,  16.4760,  16.2649,  16.2409,  16.4534,  17.0069,  16.4874,  16.2626,  16.2283,  16.2988
1724851173788449536,   4.3314,   4.6331,   4.7469,   4.4192,   4.1563,   4.3368,   4.6287,   4.7378,   4.5572
5284258831636637440,   5.6884,   6.0358,   6.1958,   5.7852,   5.4690,   5.6930,   6.0291,   6.1928,   5.9501
2633603478379307904,  11.8321,  12.4473,  12.7575,  11.9334,  11.3524,  11.8414,  12.4351,  12.8492,  12.2747
781164326766404736,  11.1783,  11.7596,  12.0334,  11.2586,  10.6610,  11.1854,  11.7499,  12.1036,  11.6075
266077145295627520,  11.7820,  12.4164,  12.7341,  11.8810,  11.2826,  11.7865,  12.4092,  12.8210,  12.2389
3944400490365194368,  13.3513,  13.9702,  14.2860,  13.4651,  12.8971,  13.3525,  13.9596,  14.3750,  13.8045
3348071631670500736,  13.0242,  13.6381,  13.9482,  13.1522,  12.6081,  13.0324,  13.6340,  14.0245,  13.4763
4201781696994073472,  12.2819,  12.5533,  12.7457,  12.3816,  12.2038,  12.2782,  12.5428,  12.8293,  12.4687
1686708050268594944,  12.7480,  13.2953,  13.5763,  12.9094,  12.4890,  12.7529,  13.2883,  13.6436,  13.1597
5040300909638155520,   8.9101,   8.4196,   8.2907,   8.7530,   9.7628,   8.9064,   8.4259,   8.2796,   8.5159
4881345510044485120,   9.1081,   8.8878,   8.8683,   9.0687,   9.5177,   9.1099,   8.8901,   8.8813,   8.9298
5709390701922940416,   9.6406,   9.4739,   9.4647,   9.6166,   9.9569,   9.6418,   9.4751,   9.4788,   9.5037
5384905720847544192,   7.5189,   7.5774,   7.6396,   7.5742,   7.6960,   7.5192,   7.5737,   7.6405,   7.5513
3905603054348141440,   7.3913,   7.1425,   7.1117,   7.3493,   8.0018,   7.3951,   7.1419,   7.1265,   7.1808
3510294882898890880,   8.3496,   8.1012,   8.0681,   8.3001,   8.8126,   8.3552,   8.1033,   8.0690,   8.1470
6182594053814895872,   9.2199,   8.9534,   8.9200,   9.1740,   9.8636,   9.2205,   8.9561,   8.9314,   8.9943
1550544530286455680,   8.3164,   8.7106,   8.8598,   8.4111,   8.0437,   8.3208,   8.7064,   8.8709,   8.6061
1606779808402312320,   5.8162,   6.1562,   6.2723,   5.9072,   5.6008,   5.8243,   6.1523,   6.2667,   6.0679
4746011090546864640,   5.8842,   6.0497,   6.1468,   5.9606,   5.9009,   5.8946,   6.0459,   6.1491,   6.0019
1434752727380965760,   6.4816,   6.6876,   6.7910,   6.5562,   6.4278,   6.4775,   6.6840,   6.7860,   6.6300
1335880415564253312,   6.4895,   6.2433,   6.2215,   6.4523,   7.1078,   6.4986,   6.2430,   6.2249,   6.2781
5957698605530828032,   8.7033,   8.4926,   8.4675,   8.6640,   9.0752,   8.7038,   8.4943,   8.4748,   8.5316
1435190745326633984,   6.8449,   6.9918,   7.0782,   6.9129,   6.8526,   6.8507,   6.9872,   7.0708,   6.9498
2152139190687051008,   6.8429,   7.0749,   7.2047,   6.9327,   6.7787,   6.8506,   7.0711,   7.1986,   7.0148
6634011506225360640,   8.9024,   8.6499,   8.6264,   8.8636,   9.5253,   8.9037,   8.6510,   8.6411,   8.6887
2160077939517532544,   5.7247,   6.0840,   6.2238,   5.8116,   5.4702,   5.7328,   6.0777,   6.2306,   5.9865
2254144423451326080,   9.4159,   9.6431,   9.7527,   9.5065,   9.3466,   9.4242,   9.6388,   9.7419,   9.5886
6342346358822630400,   8.0771,   7.7816,   7.7426,   8.0183,   8.7753,   8.0773,   7.7831,   7.7500,   7.8287
6477295296414847232,   9.0703,   8.6832,   8.5825,   8.9539,   9.6516,   9.0674,   8.6872,   8.5762,   8.7602
6810896745007524736,   6.7125,   6.4692,   6.4426,   6.6735,   7.3117,   6.7146,   6.4718,   6.4500,   6.5044
1779546757669063552,   7.6297,   7.4284,   7.4204,   7.6019,   8.1416,   7.6273,   7.4289,   7.4347,   7.4534
4992412432308644224,   7.5126,   7.6756,   7.7367,   7.5780,   7.4838,   7.5155,   7.6736,   7.7384,   7.6310
3444212584803426048,   8.3054,   8.4891,   8.5940,   8.3892,   8.3030,   8.3096,   8.4856,   8.5937,   8.4393
2902205991429301888,   7.8211,   7.5390,   7.5007,   7.7649,   8.4477,   7.8191,   7.5430,   7.5065,   7.5846
2915523482424724224,   7.7773,   7.5581,   7.5441,   7.7460,   8.3100,   7.7822,   7.5608,   7.5523,   7.5906
3167212139383161216,   9.4436,   9.6917,   9.7733,   9.5230,   9.3145,   9.4532,   9.6856,   9.7751,   9.6261
5493730399606077440,   6.6781,   7.0372,   7.1946,   6.7579,   6.3943,   6.6854,   7.0313,   7.2263,   6.9387
775029739076581248,   7.0158,   7.5452,   7.8170,   7.1029,   6.5920,   7.0259,   7.5462,   7.8832,   7.3943
1748833236082347136,  16.6924,  17.2504,  17.5328,  16.7862,  16.2662,  16.6660,  17.2210,  17.6117,  17.0784
4016474027321256704,  14.7030,  15.3051,  15.6244,  14.7886,  14.1921,  14.7132,  15.2773,  15.7501,  15.1307
1461833904932026368,  12.9136,  13.5198,  13.8094,  13.0142,  12.4339,  12.9198,  13.5121,  13.8705,  13.3534
1473687671071803520,  11.6577,  12.2908,  12.6024,  11.7731,  11.1897,  11.6648,  12.2799,  12.6837,  12.1133
3302846072717868416,  14.4634,  14.9467,  15.1932,  14.6723,  14.4263,  14.4608,  14.9477,  15.2352,  14.8494
1633376204407124352,  13.9332,  13.2386,  13.0431,  13.6796,  15.4520,  13.9217,  13.2521,  13.0330,  13.3734
1633294634388508416,  13.2683,  12.7499,  12.6095,  13.1132,  14.4364,  13.2709,  12.7561,  12.6087,  12.8465
22745910577134848,   4.2629,   4.6305,   4.7673,   4.3485,   3.9908,   4.2653,   4.6242,   4.7629,   4.5346
2988329637719192960,   4.2798,   4.8150,   5.0833,   4.3651,   3.8252,   4.2849,   4.8063,   5.1505,   4.6678
2687733913283870336,  14.6578,  15.0374,  15.2447,  14.7766,  14.4791,  14.6636,  15.0325,  15.3242,  14.9216
2901155648586891648,   5.1613,   5.7272,   6.0105,   5.2462,   4.6779,   5.1670,   5.7200,   6.0803,   5.5692
1698468284904574208,  11.9778,  11.7425,  11.7235,  11.9477,  12.6019,  11.9722,  11.7429,  11.7251,  11.7763
1399559249961569792,  13.4438,  13.1714,  13.1358,  13.4023,  14.1155,  13.4408,  13.1771,  13.1314,  13.2215
1312054926303736704,  12.9755,  12.7059,  12.6678,  12.9322,  13.6301,  12.9694,  12.7066,  12.6696,  12.7516
1551861813935664896,  17.0403,  17.5273,  17.7537,  17.2506,  17.0568,  17.0352,  17.5148,  17.8810,  17.4175
4419865155422033280,  15.8970,  16.4390,  16.7378,  16.0271,  15.5570,  15.8820,  16.4598,  16.8891,  16.3032
4408086362237875072,  16.7123,  16.3892,  16.3122,  16.6474,  17.4650,  16.7228,  16.3899,  16.2880,  16.4442
3216486443742786048,   3.8274,   4.3242,   4.5836,   3.9066,   3.3946,   3.8326,   4.3148,   4.6406,   4.1874
1429541695100150656,  16.2035,  15.9065,  15.8732,  16.1464,  16.9038,  16.1968,  15.9073,  15.8607,  15.9557
4339417394313320192,  16.7024,  13.1470,  11.9190,  13.7729,  20.8830,  16.8387,  12.9064,  11.4377,  14.1000
356922880493142016,  12.4220,  12.9078,  13.1533,  12.6208,  12.3560,  12.4280,  12.8980,  13.2375,  12.8013
2516322146457318144,  12.7852,  13.3186,  13.6004,  12.9530,  12.5557,  12.7955,  13.3068,  13.6693,  13.1931
4727581523318486912,  14.0764,  14.6051,  14.8748,  14.2457,  13.7606,  14.0820,  14.5942,  14.9410,  14.4779
657056745624156416,  13.3662,  13.8727,  14.1274,  13.5540,  13.2293,  13.3761,  13.8647,  14.1795,  13.7637
1074013923063975680,  14.7501,  15.3706,  15.6898,  14.8582,  14.2980,  14.7486,  15.3609,  15.7872,  15.1971
3788194488314248832,  13.0275,  13.5361,  13.7957,  13.2166,  12.8985,  13.0265,  13.5230,  13.8827,  13.4228
5401688425816913920,  13.6151,  14.0834,  14.3275,  13.8239,  13.5939,  13.6209,  14.0727,  14.3988,  13.9917
3489719481290397696,  12.7669,  12.8767,  12.9835,  12.8503,  12.8912,  12.7678,  12.8712,  13.0394,  12.8479
3630035787972473600,  12.2860,  12.7759,  13.0274,  12.4801,  12.1870,  12.2938,  12.7687,  13.0876,  12.6698
6009537829925128064,  12.9508,  13.2514,  13.4343,  13.1130,  13.0185,  12.9636,  13.2513,  13.4945,  13.1900
1337946019956816256,  16.4766,  17.1126,  17.4054,  16.5871,  16.0399,  16.5040,  17.0979,  17.4423,  16.9344
1638563322306634368,  13.2620,  13.7718,  14.0226,  13.4507,  13.1286,  13.2662,  13.7668,  14.1183,  13.6557
2140481412496465152,  13.1812,  13.7053,  13.9810,  13.3769,  13.0346,  13.1805,  13.7022,  14.0492,  13.5923
4319908862597055232,  12.9438,  13.4400,  13.6960,  13.1430,  12.8605,  12.9506,  13.4345,  13.7814,  13.3338
6424566979354709248,  13.2711,  13.7872,  14.0483,  13.4693,  13.1716,  13.2735,  13.7833,  14.1112,  13.6744
2176116580055936512,  12.3238,  12.8140,  13.0743,  12.5152,  12.2179,  12.3319,  12.8095,  13.1484,  12.7076
2274076297221555968,  12.8259,  13.3264,  13.5820,  13.0099,  12.6898,  12.8377,  13.3161,  13.6443,  13.2103
2693940725141960192,  12.7324,  13.2505,  13.5264,  12.9050,  12.5380,  12.7400,  13.2394,  13.6058,  13.1281
2871730307948650368,  12.8966,  13.3263,  13.5531,  13.0896,  12.8862,  12.9023,  13.3191,  13.5963,  13.2338
