DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S740mag,S920mag,Spanmag
4458990005388621952,   9.0381,   8.6644,   8.5738,   8.9349,   9.6667,   9.0383,   8.6668,   8.5691,   8.7369
1208515290704236032,   8.3635,   6.9039,   6.4881,   7.6169,  10.5163,   8.3641,   6.8585,   6.4211,   7.3302
300268314784686464,   8.7403,   8.4798,   8.4420,   8.6906,   9.2935,   8.7375,   8.4803,   8.4480,   8.5254
1284721994948665216,   8.4522,   7.5414,   7.3280,   8.0684,  10.2380,   8.4477,   7.5459,   7.2839,   7.7233
1275876252107941888,   9.1012,   8.3041,   8.0732,   8.7765,  10.5890,   9.0932,   8.3122,   8.0379,   8.4594
731253779217024640,  10.2409,   9.9822,   9.9489,  10.1860,  10.7155,  10.2297,   9.9866,   9.9518,  10.0298
955962241512224384,   8.8840,   8.5384,   8.4604,   8.7895,   9.4519,   8.8884,   8.5408,   8.4525,   8.6042
2065901676227318272,  10.2489,   9.9276,   9.8673,  10.1728,  10.8678,  10.2470,   9.9296,   9.8696,   9.9883
2075007556661946880,  10.0813,   9.8282,   9.7909,  10.0267,  10.5216,  10.0755,   9.8300,   9.8033,   9.8768
778947814402602752,   8.6676,   7.2291,   6.8419,   7.9177,  10.8456,   8.6774,   7.2134,   6.7522,   7.6049
491805851686912000,   9.8865,   9.5129,   9.4320,   9.7859,  10.5406,   9.8854,   9.5167,   9.4261,   9.5856
558748070956581248,   9.9200,   9.7439,   9.7356,   9.8922,  10.2410,   9.9165,   9.7449,   9.7476,   9.7758
4258375617747092864,   8.7506,   7.7758,   7.5472,   8.3175,  10.5490,   8.7547,   7.7815,   7.4947,   7.9713
2658240166703766016,  10.2031,  10.0047,   9.9846,  10.1701,  10.5671,  10.2025,  10.0066,   9.9974,  10.0407
1011379899590855936,  12.0748,  11.9072,  11.8973,  12.0595,  12.4494,  12.0702,  11.9081,  11.9019,  11.9357
3920615854833203328,  10.1387,   9.9338,   9.9151,  10.1049,  10.5414,  10.1300,   9.9361,   9.9240,   9.9701
3699954179060804864,   9.6369,   9.4548,   9.4425,   9.6081,   9.9829,   9.6352,   9.4551,   9.4506,   9.4874
4565784161044390656,  11.2294,  10.9710,  10.9266,  11.1807,  11.7556,  11.2238,  10.9717,  10.9298,  11.0169
2722849325377392384,  10.3576,  10.1605,  10.1406,  10.3290,  10.7687,  10.3535,  10.1595,  10.1463,  10.1936
1848170611255790848,  10.4885,  10.2441,  10.2082,  10.4421,  10.9710,  10.4864,  10.2473,  10.2119,  10.2877
1800518563283501440,  10.0365,   9.8337,   9.8138,  10.0050,  10.4484,  10.0301,   9.8338,   9.8248,   9.8687
1946297900868982016,  10.9569,  10.5751,  10.4952,  10.8586,  11.6757,  10.9481,  10.5791,  10.4871,  10.6498
1001659495247619584,  10.2854,  10.1069,  10.1005,  10.2554,  10.6266,  10.2697,  10.1069,  10.1076,  10.1344
1032197606073957888,   9.6812,   9.4846,   9.4706,   9.6512,  10.0645,   9.6783,   9.4851,   9.4746,   9.5195
4165370682239910144,  10.5248,  10.1663,  10.0780,  10.4266,  11.0792,  10.5179,  10.1697,  10.0666,  10.2396
2203746967971153024,  10.3250,   9.9791,   9.9144,  10.2366,  10.9448,  10.3208,   9.9818,   9.9147,  10.0460
523313040665475968,  11.4631,  10.9393,  10.8095,  11.2985,  12.5029,  11.4546,  10.9457,  10.7847,  11.0382
