DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S740mag,S920mag,Spanmag
6324325225803432320,  11.2228,   9.0578,   8.4268,   9.8694,  13.4113,  11.2511,   8.9509,   8.2363,   9.7253
5853498713190525696,  11.0709,   8.1423,   7.1949,   8.8994,  14.0750,  11.1633,   7.9692,   6.8721,   8.9636
4339417394313320192,  16.6703,  13.1850,  11.9201,  13.7801,  20.1489,  16.8050,  12.9354,  11.4606,  14.1002
2794735086363871360,  20.8293,  17.5870,  15.6642,  17.5350,  24.2605,  20.8229,  17.3373,  14.8776,  17.9747
2997171394834174976,  25.5260,  21.0537,  17.8038,  20.2292,  25.9988,  25.6563,  21.0851,  17.0238,  21.1565
5040300909638155520,   8.8987,   8.4280,   8.3019,   8.7608,   9.7901,   8.8974,   8.4335,   8.2785,   8.5267
4746011090546864640,   5.8789,   6.0654,   6.1716,   5.9711,   5.9026,   5.8786,   6.0629,   6.1740,   6.0120
22745910577134848,   4.2612,   4.6622,   4.8149,   4.3665,   3.9930,   4.2622,   4.6570,   4.8207,   4.5552
5057499161282786432,  16.4602,  16.2590,  16.2412,  16.4428,  16.9790,  16.4532,  16.2568,  16.2244,  16.2938
52624073910834176,   9.1910,   9.0262,   9.0163,   9.1770,   9.5555,   9.1899,   9.0277,   9.0191,   9.0584
4881345510044485120,   9.0997,   8.9017,   8.8820,   9.0761,   9.5305,   9.0993,   8.9040,   8.8814,   8.9403
2988329637719192960,   4.2707,   4.8468,   5.1276,   4.3759,   3.8296,   4.2729,   4.8385,   5.1819,   4.6852
2902205991429301888,   7.8019,   7.5532,   7.5214,   7.7706,   8.4650,   7.8016,   7.5557,   7.5162,   7.5955
3444212584803426048,   8.2981,   8.5019,   8.6102,   8.3944,   8.2946,   8.2985,   8.4983,   8.6139,   8.4467
2915523482424724224,   7.7563,   7.5621,   7.5579,   7.7443,   8.3081,   7.7544,   7.5635,   7.5582,   7.5906
5493730399606077440,   6.6680,   7.0551,   7.2153,   6.7655,   6.4030,   6.6691,   7.0489,   7.2431,   6.9477
1032197606073957888,   9.6726,   9.4902,   9.4781,   9.6532,  10.0711,   9.6720,   9.4915,   9.4819,   9.5252
5709390701922940416,   9.6312,   9.4800,   9.4734,   9.6200,   9.9673,   9.6308,   9.4812,   9.4784,   9.5091
731253779217024640,  10.2239,   9.9896,   9.9561,  10.1856,  10.6950,  10.2231,   9.9921,   9.9561,  10.0363
3905603054348141440,   7.3805,   7.1583,   7.1419,   7.3591,   7.9941,   7.3803,   7.1600,   7.1412,   7.1937
3510294882898890880,   8.3391,   8.1139,   8.0822,   8.3066,   8.8287,   8.3379,   8.1155,   8.0769,   8.1575
1550544530286455680,   8.3081,   8.7196,   8.8752,   8.4148,   8.0367,   8.3091,   8.7142,   8.8882,   8.6082
1267333012397454592,   9.6824,   9.5099,   9.4877,   9.6631,  10.0432,   9.6817,   9.5107,   9.4909,   9.5424
4408086362237875072,  16.7045,  16.3787,  16.3071,  16.6377,  17.3919,  16.7023,  16.3753,  16.2776,  16.4429
1429541695100150656,  16.1749,  15.8995,  15.8660,  16.1357,  16.8677,  16.1710,  15.8991,  15.8493,  15.9496
1425053900952815104,  15.6845,  16.1999,  16.4427,  15.7891,  15.2850,  15.6852,  16.1912,  16.4910,  16.0664
1435896975388228224,   9.6718,  10.0189,  10.1522,   9.7795,   9.4820,   9.6735,  10.0138,  10.1517,   9.9271
1434752727380965760,   6.4675,   6.6986,   6.8080,   6.5647,   6.4170,   6.4684,   6.6950,   6.8079,   6.6376
1335880415564253312,   6.4837,   6.2540,   6.2375,   6.4617,   7.1412,   6.4851,   6.2564,   6.2362,   6.2889
1651137131123978112,  12.5032,  12.7641,  12.8859,  12.6100,  12.4401,  12.5032,  12.7593,  12.8882,  12.6940
4376174445988280576,   9.9100,   9.6957,   9.6638,   9.8755,  10.3134,   9.9096,   9.6972,   9.6634,   9.7392
1633143932573832448,  12.4624,  12.6343,  12.7299,  12.5500,  12.4773,  12.4620,  12.6315,  12.7383,  12.5874
5957698605530828032,   8.6969,   8.5026,   8.4836,   8.6711,   9.0896,   8.6963,   8.5037,   8.4858,   8.5407
1435190745326633984,   6.8317,   7.0024,   7.0971,   6.9157,   6.8466,   6.8309,   6.9997,   7.0997,   6.9538
1633585107317144960,  11.7820,  11.8955,  11.9750,  11.8592,  11.9013,  11.7840,  11.8938,  11.9755,  11.8569
2158745262705810304,  11.9883,  12.3059,  12.4325,  12.0963,  11.8387,  11.9902,  12.3014,  12.4287,  12.2221
