DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S740mag,S920mag,Spanmag
1686708050268594944,  12.7466,  13.2982,  13.5569,  12.9018,  12.4556,  12.7481,  13.2895,  13.6334,  13.1601
2398029465700538880,  12.0487,  11.7364,  11.7146,  11.9856,  12.6723,  12.0476,  11.7371,  11.7141,  11.7966
2405805697263561600,  14.0880,  14.3755,  14.5680,  14.1913,  13.9899,  14.0898,  14.3705,  14.6455,  14.2948
3126052883671520896,  10.4000,  10.5452,  10.5948,  10.4867,  10.4680,  10.3986,  10.5397,  10.6113,  10.5027
5757389920689415040,  11.8846,  11.5673,  11.5006,  11.8135,  12.4703,  11.8840,  11.5700,  11.5035,  11.6336
3853478472249151616,  12.4291,  12.0809,  12.0153,  12.3459,  13.0522,  12.4277,  12.0826,  12.0290,  12.1536
3817965105665685504,  11.3262,  10.9047,  10.8057,  11.2102,  12.0966,  11.3254,  10.9092,  10.7945,  10.9925
4328293291578459392,  13.4143,  14.0247,  14.2578,  13.5328,  12.9762,  13.4163,  14.0146,  14.2491,  13.8652
1871118140493076224,  12.9500,  13.4375,  13.6462,  13.1465,  12.8742,  12.9511,  13.4310,  13.7081,  13.3275
4994877094997259264,  12.9275,  13.0484,  13.1971,  13.0236,  13.0609,  12.9266,  13.0405,  13.2103,  13.0200
5242316444456199808,  13.4698,  13.9324,  14.1334,  13.6405,  13.3474,  13.4716,  13.9210,  14.2410,  13.8188
5860131207828395648,  13.9727,  13.9983,  14.1270,  14.0390,  14.1978,  13.9722,  13.9991,  14.1435,  13.9811
5923906524348891904,  13.4833,  14.0257,  14.2645,  13.6752,  13.3380,  13.4808,  14.0154,  14.3467,  13.8906
2045444369069839744,  13.5838,  14.1334,  14.4106,  13.7324,  13.2710,  13.5862,  14.1252,  14.4852,  13.9968
1923682286712356992,  13.8266,  14.3367,  14.5681,  14.0018,  13.6515,  13.8273,  14.3285,  14.6605,  14.2112
4922382445088509312,  14.2054,  14.7251,  14.9803,  14.3653,  13.9524,  14.2047,  14.7163,  14.9796,  14.6078
519815360648870144,  14.4223,  15.0183,  15.2989,  14.5424,  13.9944,  14.4239,  15.0095,  15.4006,  14.8578
1572889389701360384,  14.1121,  14.7469,  15.1084,  14.2246,  13.6307,  14.1118,  14.7386,  15.1145,  14.5695
6070021243006871040,  14.3935,  14.9155,  15.1721,  14.5518,  14.1398,  14.3926,  14.9048,  15.2816,  14.7819
1371872413302877568,  14.7996,  15.3324,  15.5818,  14.9288,  14.4429,  14.8002,  15.3295,  15.7042,  15.1985
1326398777041821568,  14.5892,  14.8513,  15.0144,  14.7306,  14.6207,  14.5899,  14.8494,  15.1026,  14.7963
6462911897617050240,  14.2752,  14.4978,  14.6698,  14.4060,  14.3457,  14.2747,  14.4871,  14.7217,  14.4529
2257815757199848960,  10.7495,  10.5460,  10.5340,  10.7330,  11.2957,  10.7468,  10.5477,  10.5483,  10.5822
2541942588451597440,  15.0383,  15.1596,  15.1729,  15.0976,  15.0350,  15.0386,  15.1583,  15.2001,  15.1256
1564096767011977728,  15.0854,  15.1172,  15.1513,  15.1345,  15.2310,  15.0863,  15.1195,  15.1919,  15.1025
2560771312759450496,  10.8516,   9.2375,   8.8209,   9.9879,  12.9428,  10.8622,   9.1877,   8.7951,   9.7169
1472718211053416320,  10.5469,   9.0401,   8.6680,   9.7679,  12.6097,  10.5463,   9.0055,   8.5565,   9.4714
1428427236986209024,  10.0142,   8.4929,   8.1151,   9.2185,  12.2341,  10.0242,   8.4647,   8.0892,   8.9261
4659680529922228096,  10.3555,  10.3165,  10.4008,  10.4011,  10.6899,  10.3521,  10.3132,  10.3923,  10.3100
3348071528591318272,  13.6714,  13.3338,  13.2662,  13.6007,  14.4128,  13.6714,  13.3348,  13.2642,  13.3979
5020116556211470848,  14.0456,  12.1274,  11.5835,  12.9090,  16.1927,  14.0780,  12.0508,  11.4623,  12.6989
266077145295627520,  11.7881,  12.4190,  12.7473,  11.8850,  11.2748,  11.7906,  12.4093,  12.8095,  12.2420
3348071631670500736,  13.0306,  13.6431,  13.9535,  13.1523,  12.5931,  13.0333,  13.6321,  14.0285,  13.4770
3944400490365194368,  13.3551,  13.9770,  14.2884,  13.4650,  12.8826,  13.3577,  13.9682,  14.3588,  13.8051
3251244858154433536,  14.0538,  14.6720,  15.0220,  14.1742,  13.6044,  14.0560,  14.6644,  15.0694,  14.5108
3304090857318319232,  13.8640,  14.4137,  14.7020,  14.0203,  13.5741,  13.8657,  14.4042,  14.7598,  14.2764
5639391810273308416,  11.8319,  12.0212,  12.1567,  11.9431,  11.9076,  11.8322,  12.0138,  12.2117,  11.9738
781164326766404736,  11.1871,  11.7752,  12.0588,  11.2701,  10.6660,  11.1906,  11.7655,  12.1235,  11.6212
5332606522595645952,  11.4690,  11.5824,  11.7301,  11.5404,  11.5488,  11.4746,  11.5787,  11.7661,  11.5349
3959631234670040704,  10.5143,  11.1211,  11.4448,  10.6128,  10.0139,  10.5171,  11.1128,  11.5098,  10.9540
6749419923164242816,  12.2054,  12.7036,  12.9594,  12.3863,  12.0612,  12.2062,  12.6909,  13.0335,  12.5869
2693940725141960192,  12.7370,  13.2583,  13.5287,  12.9067,  12.5147,  12.7388,  13.2475,  13.6018,  13.1333
2633603478379307904,  11.8367,  12.4536,  12.7719,  11.9329,  11.3361,  11.8397,  12.4441,  12.8259,  12.2813
3935488605023787392,  11.8221,  12.4697,  12.7616,  11.9160,  11.3005,  11.8263,  12.4608,  12.7908,  12.2826
3657546118655166080,  10.2404,  10.7430,  10.9954,  10.3457,   9.8729,  10.2417,  10.7337,  11.0478,  10.6019
4416639085227405952,   8.9719,   8.9800,   8.9637,   9.0281,   9.2941,   8.9689,   8.9791,   8.9905,   8.9615
6210089815971933056,  11.7593,  11.5237,  11.5049,  11.7215,  12.1936,  11.7585,  11.5242,  11.5291,  11.5759
1634280312200704768,  13.4946,  13.5713,  13.6350,  13.5602,  13.6240,  13.4940,  13.5697,  13.6452,  13.5458
2161093682102883712,  12.2787,  12.5198,  12.6650,  12.3802,  12.2059,  12.2791,  12.5146,  12.6736,  12.4623
2160839724980689408,  11.7214,  11.9017,  11.9948,  11.8121,  11.7552,  11.7196,  11.8983,  12.0152,  11.8508
5024640977840398848,  11.4752,  11.1704,  11.1709,  11.4181,  12.0196,  11.4741,  11.1697,  11.1625,  11.2431
5444093531284061568,  12.1351,  11.9187,  11.9203,  12.1069,  12.5688,  12.1342,  11.9169,  11.9104,  11.9621
1399559249961569792,  13.4405,  13.1973,  13.1562,  13.4099,  14.0827,  13.4385,  13.1998,  13.1397,  13.2393
1312054926303736704,  12.9585,  12.6841,  12.6481,  12.9125,  13.5868,  12.9568,  12.6850,  12.6854,  12.7333
1633294634388508416,  13.2558,  12.7524,  12.6207,  13.1110,  14.4283,  13.2553,  12.7589,  12.6242,  12.8481
1633376204407124352,  13.9192,  13.2520,  13.0639,  13.6875,  15.4363,  13.9195,  13.2601,  13.0314,  13.3847
2257926365492000768,  13.5559,  12.9594,  12.7323,  13.3545,  15.0554,  13.5576,  12.9687,  12.7432,  13.0645
4201781696994073472,  12.2823,  12.5392,  12.7381,  12.3775,  12.2004,  12.2820,  12.5342,  12.7846,  12.4616
318506871931567616,  12.9258,  12.4295,  12.3038,  12.7802,  13.9353,  12.9247,  12.4347,  12.3045,  12.5316
356922880493142016,  12.4457,  12.9068,  13.1522,  12.6296,  12.3448,  12.4477,  12.8996,  13.2289,  12.8041
4613863502423915008,  10.4406,   9.8425,   9.6453,  10.2381,  11.7919,  10.4426,   9.8495,   9.6138,   9.9581
2941993086693170176,  12.0552,  12.5625,  12.7628,  12.1507,  11.6498,  12.0552,  12.5522,  12.8996,  12.4250
943770757800160384,  12.0432,  12.5880,  12.8983,  12.1969,  11.7412,  12.0455,  12.5789,  12.9686,  12.4529
990352495624317568,  11.9514,  12.2430,  12.3107,  12.0485,  11.7906,  11.9513,  12.2386,  12.3362,  12.1660
1052266579499163392,  12.8058,  12.4337,  12.3588,  12.7131,  13.4684,  12.8056,  12.4374,  12.3616,  12.5099
3788194488314248832,  13.0430,  13.5314,  13.8004,  13.2202,  12.8826,  13.0447,  13.5216,  13.8797,  13.4185
4019458647338779648,  12.4609,  13.0195,  13.3082,  12.6302,  12.2062,  12.4635,  13.0116,  13.3712,  12.8823
3520997013687539712,  10.0442,   9.3685,   9.1450,   9.8006,  11.5080,  10.0436,   9.3736,   9.1193,   9.5067
3685507214745543040,  12.7867,  12.3491,  12.2429,  12.6614,  13.5731,  12.7860,  12.3529,  12.2290,  12.4378
6335641365117256192,  11.9771,  11.6101,  11.5419,  11.8906,  12.6513,  11.9737,  11.6117,  11.5553,  11.6892
1639946061258413312,  12.7107,  12.3900,  12.3470,  12.6393,  13.2696,  12.7084,  12.3914,  12.3550,  12.4557
4412702764879270656,  10.7647,  10.4492,  10.3968,  10.6964,  11.3407,  10.7643,  10.4494,  10.3915,  10.5152
1406378695954996352,  11.2747,  10.9003,  10.8183,  11.1807,  11.9761,  11.2732,  10.9033,  10.8071,  10.9753
4569481097095820032,   8.8960,   8.5269,   8.4376,   8.7989,   9.5083,   8.8942,   8.5312,   8.4345,   8.6069
4319908862597055232,  12.9520,  13.4532,  13.7136,  13.1443,  12.8261,  12.9528,  13.4462,  13.7795,  13.3438
4296558843393685632,  10.6944,  10.2742,  10.1604,  10.5805,  11.4817,  10.6918,  10.2767,  10.1700,  10.3614
1831553382794173824,  11.5072,  12.0561,  12.3252,  11.6632,  11.2161,  11.5089,  12.0481,  12.4004,  11.9222
4228176122142169600,  10.5366,  10.2649,  10.2302,  10.4926,  11.1507,  10.5356,  10.2658,  10.2092,  10.3230
2011130908940738304,  12.6159,  12.2711,  12.1881,  12.5456,  13.3713,  12.6150,  12.2740,  12.1781,  12.3474
2874319284171715968,  13.8057,  14.4238,  14.7014,  13.9076,  13.3248,  13.8081,  14.4146,  14.8212,  14.2482
2323394345824851584,  13.7785,  13.4714,  13.4109,  13.7191,  14.4998,  13.7768,  13.4761,  13.4171,  13.5316
458558784733311232,  13.6333,  14.1791,  14.4662,  13.7849,  13.3416,  13.6356,  14.1711,  14.5441,  14.0410
446003598888454400,  13.7465,  13.1555,  12.9822,  13.5422,  14.7394,  13.7458,  13.1603,  12.9344,  13.2795
268550015665098880,  13.1984,  12.8249,  12.7356,  13.1023,  13.8674,  13.1974,  12.8285,  12.7348,  12.9012
987911506794398976,  12.9551,  12.6426,  12.5820,  12.8842,  13.4943,  12.9535,  12.6439,  12.5797,  12.7074
861050512312844672,  13.7792,  14.2958,  14.5534,  13.9426,  13.5580,  13.7829,  14.2880,  14.6207,  14.1691
